Taxon,Category
Bauhinia albicans,EN
Bauhinia affinis,LC
Bauhinia ovata,LC
Chamaecrista atroglandulosa,EN
Bauhinia fusconervis,LC
Gleditsia amorphoides,VU
Martiodendron mediterraneum,LC
Moldenhawera luschnathiana,VU
Pomaria stipularis,NT
Moldenhawera polysperma,VU
Cassia leptophylla,LC
Senna tenuifolia,LC
Tachigali beaurepairei,EN
Senna araucarietorum,LC
Tachigali denudata,VU
Tachigali duckei,EN
Tachigali densiflora,LC
Tachigali friburgensis,LC
Tachigali pilgeriana,NT
Tachigali paratyensis,LC
Tachigali urbaniana,LC
Tachigali rugosa,NT
Albizia burkartiana,EN
Albizia edwallii,LC
Enterolobium glaziovii,LC
Enterolobium monjollo,LC
Inga arenicola,DD
Inga bullata,NT
Senna tropica,LC
Inga cabelo,VU
Inga conchifolia,EN
Inga cordistipula,VU
Inga edwallii,LC
Inga enterolobioides,CR
Inga globularis,EN
Inga lanceifolia,LC
Inga maritima,EN
Inga mendoncaei,EN
Inga lenticellata,LC
Inga platyptera,EN
Inga schinifolia,LC
Inga sellowiana,LC
Mimosa balduinii,EN
Inga praegnans,EN
Mimosa bocainae,CR
Mimosa catharinensis,EN
Mimosa callidryas,EN
Tachigali vulgaris,LC
Mimosa ernestii,CR
Mimosa glazioui,CR
Mimosa involucrata,EN
Mimosa itatiaiensis,EN
Mimosa myuros,EN
Mimosa chaetosphaera,LC
Mimosa psittacina,EN
Mimosa dryandroides,LC
Mimosa ramentacea,LC
Mimosa sanguinolenta,LC
Mimosa scabrella,LC
Mimosa oblonga,LC
Mimosa strobiliflora,CR
Neptunia pubescens,VU
Mimosa ramosissima,LC
Pityrocarpa inaequalis,NT
Pseudopiptadenia schumanniana,LC
Senegalia giganticarpa,LC
Mimosa sparsiformis,LC
Senegalia kallunkiae,LC
Senegalia grandistipula,LC
Senegalia bahiensis,LC
Senegalia lacerans,LC
Senegalia mikanii,EN
Senegalia pteridifolia,LC
Senegalia langsdorffii,LC
Adesmia paranensis,NT
Aeschynomene denticulata,LC
Senegalia lasiophylla,LC
Aeschynomene fructipendula,EN
Bionia coccinea,LC
Centrosema jaraguaense,DD
Cratylia intermedia,LC
Senegalia martiusiana,LC
Dalbergia ernest-ulei,EN
Dalbergia glaziovii,EN
Dahlstedtia pinnata,LC
Deguelia costata,LC
Desmodium craspediferum,EN
Desmodium venosum,LC
Eriosema platycarpon,DD
Exostyles glabra,DD
Dioclea burkartii,LC
Lathyrus acutifolius,CR
Bionia coriacea,LC
Galactia benthamiana,LC
Lathyrus hookeri,DD
Lathyrus hasslerianus,LC
Lathyrus paraguariensis,VU
Lathyrus parodii,DD
Leptolobium brachystachyum,LC
Leptolobium bijugum,LC
Leptolobium glaziovianum,EN
Leptolobium tenuifolium,EN
Luetzelburgia guaissara,LC
Luetzelburgia trialata,VU
Lupinus dusenianus,CR
Lupinus linearis,DD
Lupinus ovalifolius,DD
Lupinus russellianus,CR
Lupinus prouvensalanus,DD
Leptolobium dasycarpum,LC
Machaerium caratinganum,NT
Machaerium firmum,NT
Machaerium cantarellianum,LC
Machaerium declinatum,LC
Machaerium hatschbachii,LC
Machaerium glabrum,LC
Machaerium legale,EN
Machaerium macaense,VU
Machaerium obovatum,VU
Machaerium ruddianum,LC
Machaerium gracile,LC
Myrocarpus leprosus,CR
Ormosia friburgensis,LC
Ormosia minor,VU
Ormosia ruddiana,EN
Rhynchosia leucophylla,DD
Machaerium reticulatum,LC
Swartzia capixabensis,DD
Swartzia oblata,LC
Swartzia polita,LC
Machaerium ternatum,LC
Swartzia glazioviana,VU
Tephrosia sessiliflora,LC
Swartzia submarginata,LC
Zollernia glaziovii,EN
Zollernia cowanii,CR
Luetzelburgia harleyi,CR
Luetzelburgia neurocarpa,CR
Luetzelburgia purpurea,LC
Vicia tephrosioides,DD
Swartzia parvipetala,LC
Swartzia juruana,CR
Swartzia emarginata,LC
Swartzia psilonema,LC
Senegalia piauhiensis,LC
Senegalia mattogrossensis,LC
Swartzia manausensis,LC
Senegalia latifoliola,DD
Bionia pedicellata,LC
Senegalia ricoae,CR
Senegalia grandisiliqua,LC
Moldenhawera acuminata,NT
Moldenhawera papillanthera,VU
Swartzia froesii,DD
Senegalia globosa,LC
Swartzia prolata,EN
Chamaecrista coriacea,CR
Chamaecrista pilicarpa,DD
Chamaecrista virginis,DD
Chamaecrista fuscescens,DD
Chamaecrista phyllostachya,EN
Senna paradictyon,LC
Chamaecrista multipennis,LC
Chamaecrista itabiritoana,CR
Chamaecrista geraldoi,DD
Chamaecrista caracensis,DD
Chamaecrista catapodia,DD
Chamaecrista ericifolia,EN
Chamaecrista vauthieri,EN
Trifolium argentinense,DD
Vicia pampicola,CR
Chamaecrista subpeltata,EN
Lupinus decurrens,EN
Senegalia parviceps,DD
Chamaecrista confertiformis,NT
Chamaecrista unijuga,EN
Chamaecrista blanchetii,LC
Chamaecrista decora,LC
Chamaecrista brachystachya,LC
Senna biglandularis,LC
Zornia subsessilis,EN
Bauhinia bicolor,DD
Dipteryx charapilla,DD
Tachigali barnebyi,LC
Tachigali candelabrum,EN
Tachigali goeldiana,LC
Tachigali fusca,DD
Tachigali leiocalyx,DD
